

1507530840.033934728  Node Startup
1507531317.543422676 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test97
1507531318.543741982 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test98
1507531319.542899769 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test99
1507531320.542810963 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test100
1507531321.543465369 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test101
1507531322.543276976 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test102
1507531323.543143074 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test103
1507531324.543312424 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test104
1507531325.542751252 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test105
1507531326.543071224 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test106
1507531327.543294092 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test107
1507531328.543449947 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test108
1507531329.543540361 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test109
1507531330.542847016 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test110
1507531331.543158192 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test111
1507531332.543882857 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test112
1507531333.543303402 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test113
1507531334.542712537 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test114
1507531335.544200744 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test115
1507531336.543377326 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test116
1507531337.542664823 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test117
1507531338.543239448 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test118
1507531339.542792257 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test119
1507531340.542699055 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test120
1507531341.543397929 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test121
1507531342.543205865 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test122
1507531343.543532364 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test123
1507531344.542821369 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test124
1507531345.543262846 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test125
1507531346.543442401 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test126
1507531347.543630076 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test127
1507531348.543214316 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test128
1507531349.543546095 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test129
1507531350.543788928 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test130
1507531351.542856358 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test131
1507531352.543547643 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test132
1507531353.542807413 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test133
1507531354.543038135 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test134
1507531355.543325449 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test135
1507531356.543416567 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test136
1507531357.543621078 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test137
1507531358.543654986 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test138
1507531359.543179261 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test139
1507531360.543528840 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test140
1507531361.543028808 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test141
1507531362.543386965 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test142
1507531363.543522517 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test143
1507531364.543493777 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test144
1507531365.543211465 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test145
1507531366.542964963 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test146
1507531367.543518005 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test147
1507531368.543054208 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test148
1507531369.542674242 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test149
1507531370.543753173 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test150
1507531371.543802810 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test151
1507531372.543579559 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test152
1507531373.543614512 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test153
1507531374.543661436 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test154
1507531375.543576284 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test155
1507531376.543501723 INFO [/home/marubashi/practice_ws/src/janken_pkg/src/talker.cpp:20(main) [topics: /rosout, /janken_topic] mic test, mic test156
